model,layer,aucroc__baseline,aucroc__sif_abtt_fixed,aucroc__sif_abtt_optimal,aucroc__sif_only,model_display
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,14,0.9042154329925008,0.9679292458119524,0.9679292458119524,0.8983833457318654,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,15,0.907185089380466,0.9676463926132436,0.9676463926132436,0.9011396133626856,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,16,0.9167922148726432,0.9660600039807782,0.9660600039807782,0.9129140536991132,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,17,0.9263297957948716,0.9675881530137131,0.9675881530137131,0.9226230773136808,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,18,0.9444774692946885,0.9763780994746738,0.9763780994746738,0.9383638635452982,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,19,0.95467934657912,0.9780055275765042,0.9780055275765042,0.9488473875239006,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,20,0.9593753735985944,0.9777540480745583,0.9777540480745583,0.9548865562930978,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,21,0.9606620912290508,0.9790268004722172,0.9819173586973706,0.9567114962849504,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,22,0.969237250120204,0.9824131198829156,0.981587710521878,0.9654701400200028,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,23,0.9696873839140022,0.985801579866182,0.9836595695658842,0.9629061141208604,KaLM-mini
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,24,0.95435146580686,0.9747900785125388,0.9747900785125388,0.9535875584153096,KaLM-mini
