model,language,layer,method,D,D_source,sif_a,spearman_train,spearman_test,n_train_pairs,n_test_pairs
Qwen/Qwen3-Embedding-0.6B,french,25,baseline_mean,0,none,0.001,0.7985342983218466,0.8185931297329894,505,505
Qwen/Qwen3-Embedding-0.6B,french,25,sif_abtt_optimal,10,train_sweep,0.001,0.861355043402875,0.8587166624727106,505,505
Qwen/Qwen3-Embedding-0.6B,french,25,whitening,0,none,0.001,0.08423638051998472,0.6708037451241161,505,505
Qwen/Qwen3-Embedding-0.6B,french,26,baseline_mean,0,none,0.001,0.7917790312437543,0.8067201606170904,505,505
Qwen/Qwen3-Embedding-0.6B,french,26,sif_abtt_optimal,10,train_sweep,0.001,0.8634172077530645,0.8599245717756523,505,505
Qwen/Qwen3-Embedding-0.6B,french,26,whitening,0,none,0.001,0.14128166506563677,0.6748436902028868,505,505
Qwen/Qwen3-Embedding-0.6B,french,27,baseline_mean,0,none,0.001,0.7786117014868281,0.7956783935344297,505,505
Qwen/Qwen3-Embedding-0.6B,french,27,sif_abtt_optimal,10,train_sweep,0.001,0.8578607560679827,0.8534731182914186,505,505
Qwen/Qwen3-Embedding-0.6B,french,27,whitening,0,none,0.001,0.08237040629515317,0.6702940965657735,505,505
Qwen/Qwen3-Embedding-0.6B,french,28,baseline_mean,0,none,0.001,0.8379213695273313,0.8479962708414518,505,505
Qwen/Qwen3-Embedding-0.6B,french,28,sif_abtt_optimal,10,train_sweep,0.001,0.8641052953828032,0.8563133743675769,505,505
Qwen/Qwen3-Embedding-0.6B,french,28,whitening,0,none,0.001,0.31749658927338437,0.6884662014717393,505,505
Qwen/Qwen3-Embedding-0.6B,sinhala,0,baseline_mean,0,none,0.001,0.27549183654145243,0.306940601676599,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,0,sif_abtt_optimal,1,train_sweep,0.001,0.3638251383659263,0.40276558777068927,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,0,whitening,0,none,0.001,0.41451503292671926,0.44185434371237564,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,1,baseline_mean,0,none,0.001,0.2970962338670007,0.3064011102347643,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,1,sif_abtt_optimal,7,train_sweep,0.001,0.3654241216729396,0.3715841189447144,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,1,whitening,0,none,0.001,0.241139359517125,0.2827327614597428,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,2,baseline_mean,0,none,0.001,0.32183460612298276,0.32899354658725843,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,2,sif_abtt_optimal,1,train_sweep,0.001,0.36466833628332535,0.4001514720475241,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,2,whitening,0,none,0.001,0.2609057051829274,0.27150834850267513,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,3,baseline_mean,0,none,0.001,0.25836971158554395,0.24779345170549769,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,3,sif_abtt_optimal,1,train_sweep,0.001,0.3981259348456413,0.44240470695331136,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,3,whitening,0,none,0.001,0.25446035015825047,0.2906396712465963,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,4,baseline_mean,0,none,0.001,0.25873279254395887,0.24816425401690922,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,4,sif_abtt_optimal,1,train_sweep,0.001,0.3943378163752678,0.44253341091391535,2548,2548
Qwen/Qwen3-Embedding-0.6B,sinhala,4,whitening,0,none,0.001,0.2403281895387522,0.281561536425783,2548,2548
