model,repr,pooling,layer,method,D,sif_a,split,n_train,n_test_query,acc@1_all,acc@3_all,acc@5_all,acc@1_winnable,acc@3_winnable,acc@5_winnable,same_avg,diff_avg,gap,off_diag_mean
bowphs/PhilTa,hidden,mean,7,abtt,10,0.001,clean,943,335,0.8925373134328358,0.9373134328358209,0.9373134328358209,0.8925373134328358,0.9373134328358209,0.9373134328358209,0.5635925531387329,-0.0006866097101010382,0.564279162848834,0.0005145539180375636
bowphs/PhilTa,hidden,mean,8,baseline,0,0.001,clean,943,335,0.08358208955223881,0.10149253731343283,0.11343283582089553,0.08358208955223881,0.10149253731343283,0.11343283582089553,0.951950192451477,0.934910774230957,0.01703941822052002,0.93494713306427
bowphs/PhilTa,hidden,mean,8,abtt,10,0.001,clean,943,335,0.9044776119402985,0.9343283582089552,0.9432835820895522,0.9044776119402985,0.9343283582089552,0.9432835820895522,0.5638831257820129,-0.000587519898544997,0.5644706456805579,0.0006140509503893554
bowphs/PhilTa,hidden,mean,9,baseline,0,0.001,clean,943,335,0.06865671641791045,0.10149253731343283,0.11343283582089553,0.06865671641791045,0.10149253731343283,0.11343283582089553,0.9471278786659241,0.930385172367096,0.016742706298828125,0.9304207563400269
bowphs/PhilTa,hidden,mean,9,abtt,10,0.001,clean,943,335,0.9044776119402985,0.9402985074626866,0.9552238805970149,0.9044776119402985,0.9402985074626866,0.9552238805970149,0.5547989010810852,-0.0005503587890416384,0.5553492598701268,0.0006317952647805214
bowphs/PhilTa,hidden,mean,10,baseline,0,0.001,clean,943,335,0.06567164179104477,0.08358208955223881,0.11044776119402985,0.06567164179104477,0.08358208955223881,0.11044776119402985,0.9452686309814453,0.9288887977600098,0.016379833221435547,0.928924024105072
bowphs/PhilTa,hidden,mean,10,abtt,10,0.001,clean,943,335,0.9104477611940298,0.9462686567164179,0.9552238805970149,0.9104477611940298,0.9462686567164179,0.9552238805970149,0.5452020764350891,-0.0005609727231785655,0.5457630491582677,0.0006007757037878036
bowphs/PhilTa,hidden,mean,11,baseline,0,0.001,clean,943,335,0.07164179104477612,0.08955223880597014,0.11044776119402985,0.07164179104477612,0.08955223880597014,0.11044776119402985,0.9461496472358704,0.9298346638679504,0.016314983367919922,0.9298691153526306
bowphs/PhilTa,hidden,mean,11,abtt,10,0.001,clean,943,335,0.8865671641791045,0.9373134328358209,0.9552238805970149,0.8865671641791045,0.9373134328358209,0.9552238805970149,0.5293753147125244,-0.0006385172018781304,0.5300138319144025,0.0004897064645774662
bowphs/PhilTa,hidden,mean,12,baseline,0,0.001,clean,943,335,0.7373134328358208,0.835820895522388,0.8626865671641791,0.7373134328358208,0.835820895522388,0.8626865671641791,0.8296105265617371,0.6407002210617065,0.18891030550003052,0.6411022543907166
bowphs/PhilTa,hidden,mean,12,abtt,10,0.001,clean,943,335,0.8985074626865671,0.9492537313432836,0.9552238805970149,0.8985074626865671,0.9492537313432836,0.9552238805970149,0.49571070075035095,-0.0009307542932219803,0.49664145504357293,0.00012643054651562124
bowphs/PhilTa,hidden,sif,0,baseline,0,0.001,clean,943,335,0.9194029850746268,0.9462686567164179,0.9492537313432836,0.9194029850746268,0.9462686567164179,0.9492537313432836,0.7487039566040039,0.32573843002319336,0.42296552658081055,0.3266385793685913
bowphs/PhilTa,hidden,sif,0,abtt,10,0.001,clean,943,335,0.9313432835820895,0.9552238805970149,0.9552238805970149,0.9313432835820895,0.9552238805970149,0.9552238805970149,0.5736743807792664,-0.00136635173112154,0.5750407325103879,-0.00014228027430363
bowphs/PhilTa,hidden,sif,1,baseline,0,0.001,clean,943,335,0.9104477611940298,0.9402985074626866,0.9432835820895522,0.9104477611940298,0.9402985074626866,0.9432835820895522,0.8134743571281433,0.47536131739616394,0.33811303973197937,0.47608140110969543
bowphs/PhilTa,hidden,sif,1,abtt,10,0.001,clean,943,335,0.9253731343283582,0.9582089552238806,0.9611940298507463,0.9253731343283582,0.9582089552238806,0.9611940298507463,0.5901606678962708,-0.0013774168910458684,0.5915380847873166,-0.00011822774831671268
