threshold,precision,recall,f1,tp,fp,fn,total_pos,total_neg,layer
0.08390134572982788,0.0021702325898487656,0.9896373056994818,0.004330967551756196,1719,790362,18,1737,814266,3
0.08804643154144287,0.0021702435495538942,0.9896373056994818,0.0043309893753448545,1719,790358,18,1737,814266,3
0.09219145774841309,0.0021702435495538942,0.9896373056994818,0.0043309893753448545,1719,790358,18,1737,814266,3
0.0963364839553833,0.0021702545093697173,0.9896373056994818,0.00433101119915345,1719,790354,18,1737,814266,3
0.10048151016235352,0.002170257249340969,0.9896373056994818,0.004331016655139965,1719,790353,18,1737,814266,3
0.1046265959739685,0.0021702682092951614,0.9896373056994818,0.004331038479223487,1719,790349,18,1737,814266,3
0.10877162218093872,0.0021702764293334512,0.9896373056994818,0.004331054847430468,1719,790346,18,1737,814266,3
0.11291664838790894,0.002170287389481366,0.9896373056994818,0.0043310766718988964,1719,790342,18,1737,814266,3
0.11706167459487915,0.0021702928695968354,0.9896373056994818,0.004331087584215592,1719,790340,18,1737,814266,3
0.12120676040649414,0.002170301089821932,0.9896373056994818,0.004331103952793738,1719,790337,18,1737,814266,3
0.12535178661346436,0.002170301089821932,0.9896373056994818,0.004331103952793738,1719,790337,18,1737,814266,3
0.12949681282043457,0.002170301089821932,0.9896373056994818,0.004331103952793738,1719,790337,18,1737,814266,3
0.13364183902740479,0.0021703065700065904,0.9896373056994818,0.004331114865247905,1719,790335,18,1737,814266,3
0.13778692483901978,0.0021703065700065904,0.9896373056994818,0.004331114865247905,1719,790335,18,1737,814266,3
0.14193195104599,0.0021703147903354707,0.9896373056994818,0.00433113123403226,1719,790332,18,1737,814266,3
0.1460769772529602,0.0021703202705893195,0.9896373056994818,0.004331142146623901,1719,790330,18,1737,814266,3
0.1502220630645752,0.002170325750870845,0.9896373056994818,0.004331153059270532,1719,790328,18,1737,814266,3
0.1543670892715454,0.002170333971345026,0.9896373056994818,0.004331169428343586,1719,790325,18,1737,814266,3
0.15851211547851562,0.0021703421918814808,0.9896373056994818,0.00433118579754037,1719,790322,18,1737,814266,3
0.16265714168548584,0.0021703449320741378,0.9896373056994818,0.0043311912539667945,1719,790321,18,1737,814266,3
0.16680222749710083,0.0021703476722737137,0.9896373056994818,0.004331196710406966,1719,790320,18,1737,814266,3
0.17094725370407104,0.0021703558929139586,0.9896373056994818,0.0043312130798099716,1719,790317,18,1737,814266,3
0.17509227991104126,0.002170358633141212,0.9896373056994818,0.004331218536305135,1719,790316,18,1737,814266,3
0.17923730611801147,0.0021703613733753853,0.9896373056994818,0.004331223992814048,1719,790315,18,1737,814266,3
0.18338239192962646,0.0021703613733753853,0.9896373056994818,0.004331223992814048,1719,790315,18,1737,814266,3
0.18752741813659668,0.0021703723343812734,0.9896373056994818,0.004331245818987184,1719,790311,18,1737,814266,3
0.1916724443435669,0.0021703750746500444,0.9896373056994818,0.004331251275564839,1719,790310,18,1737,814266,3
0.1958174705505371,0.002170380555208345,0.9896373056994818,0.004331262188761394,1719,790308,18,1737,814266,3
0.1999625563621521,0.002170383295497875,0.9896373056994818,0.004331267645380296,1719,790307,18,1737,814266,3
0.20410758256912231,0.002170386035794325,0.9896373056994818,0.004331273102012946,1719,790306,18,1737,814266,3
0.20825260877609253,0.002170386035794325,0.9896373056994818,0.004331273102012946,1719,790306,18,1737,814266,3
0.21239769458770752,0.002170388776097694,0.9896373056994818,0.0043312785586593445,1719,790305,18,1737,814266,3
0.21654272079467773,0.0021703969970493205,0.9896373056994818,0.004331294928681033,1719,790302,18,1737,814266,3
0.22068774700164795,0.0021703969970493205,0.9896373056994818,0.004331294928681033,1719,790302,18,1737,814266,3
0.22483277320861816,0.0021704024777183376,0.9896373056994818,0.004331305842097572,1719,790300,18,1737,814266,3
0.22897785902023315,0.0021704024777183376,0.9896373056994818,0.004331305842097572,1719,790300,18,1737,814266,3
0.23312288522720337,0.0021704052180632257,0.9896373056994818,0.004331311298826464,1719,790299,18,1737,814266,3
0.23726791143417358,0.0021704052180632257,0.9896373056994818,0.004331311298826464,1719,790299,18,1737,814266,3
0.2414129376411438,0.00217041343913941,0.9896373056994818,0.004331327669095637,1719,790296,18,1737,814266,3
0.2455580234527588,0.0021704189198914663,0.9896373056994818,0.004331338582677165,1719,790294,18,1737,814266,3
0.249703049659729,0.0021704216602778745,0.9896373056994818,0.004331344039488553,1719,790293,18,1737,814266,3
0.2538480758666992,0.002170427141071451,0.9896373056994818,0.004331354953152579,1719,790291,18,1737,814266,3
0.25799310207366943,0.002170427141071451,0.9896373056994818,0.004331354953152579,1719,790291,18,1737,814266,3
0.2621381878852844,0.002170435362313717,0.9896373056994818,0.004331371323751739,1719,790288,18,1737,814266,3
0.26628321409225464,0.0021704381027416457,0.9896373056994818,0.004331376780645624,1719,790287,18,1737,814266,3
0.27042824029922485,0.0021704490645225645,0.9896373056994818,0.0043313986083586675,1719,790283,18,1737,814266,3
0.27457332611083984,0.0021704518049850945,0.9896373056994818,0.004331404065321303,1719,790282,18,1737,814266,3
0.27871835231781006,0.0021704545454545453,0.9896373056994818,0.004331409522297688,1719,790281,18,1737,814266,3
0.2828633785247803,0.0021704572859309167,0.9896373056994818,0.004331414979287824,1719,790280,18,1737,814266,3
0.2870084047317505,0.00217046276690442,0.9896373056994818,0.004331425893309345,1719,790278,18,1737,814266,3
0.2911534905433655,0.0021704655074015525,0.9896373056994818,0.004331431350340732,1719,790277,18,1737,814266,3
0.2952985167503357,0.0021704682479056054,0.9896373056994818,0.004331436807385868,1719,790276,18,1737,814266,3
0.2994435429573059,0.002170470988416579,0.9896373056994818,0.004331442264444756,1719,790275,18,1737,814266,3
0.3035885691642761,0.0021704792099910227,0.9896373056994818,0.004331458635703919,1719,790272,18,1737,814266,3
0.3077336549758911,0.002170484691075255,0.9896373056994818,0.004331469549945447,1719,790270,18,1737,814266,3
0.31187868118286133,0.002170487431627752,0.9896373056994818,0.004331475007086838,1719,790269,18,1737,814266,3
0.31602370738983154,0.002170492912753508,0.9896373056994818,0.00433148592141087,1719,790267,18,1737,814266,3
0.32016873359680176,0.0021705011344940483,0.9896373056994818,0.00433150229300005,1719,790264,18,1737,814266,3
0.32431381940841675,0.0021705120969116604,0.9896373056994818,0.004331524121978138,1719,790260,18,1737,814266,3
0.32845884561538696,0.0021705888369356187,0.9896373056994818,0.004331676930985476,1719,790232,18,1737,814266,3
0.3326038718223572,0.0021702112608447404,0.9890616004605642,0.004330919564135046,1718,789910,19,1737,814266,3
0.3367488980293274,0.0021683504236244054,0.9879101899827288,0.004327203128900724,1716,789669,21,1737,814266,3
0.3408939838409424,0.002168372343396384,0.9879101899827288,0.004327246776629841,1716,789661,21,1737,814266,3
0.3450390100479126,0.0021683778234086242,0.9879101899827288,0.004327257688699705,1716,789659,21,1737,814266,3
0.3491840362548828,0.00216838604347892,0.9879101899827288,0.0043272740569076885,1716,789656,21,1737,814266,3
0.353329062461853,0.002168397003669595,0.9879101899827288,0.004327295881377624,1716,789652,21,1737,814266,3
0.35747408866882324,0.0021684024838064813,0.9879101899827288,0.004327306793695144,1716,789650,21,1737,814266,3
0.361619234085083,0.0021684079639710677,0.9879101899827288,0.0043273177060677015,1716,789648,21,1737,814266,3
0.3657642602920532,0.0021684107040637482,0.9879101899827288,0.004327323162274618,1716,789647,21,1737,814266,3
0.36990928649902344,0.0021684161842698843,0.9879101899827288,0.004327334074729731,1716,789645,21,1737,814266,3
0.37405431270599365,0.0021684326250544952,0.9879101899827288,0.004327366812425292,1716,789639,21,1737,814266,3
0.37819933891296387,0.002168443585716073,0.9879101899827288,0.004327388637830858,1716,789635,21,1737,814266,3
0.3823443651199341,0.0021684655073716456,0.9879101899827288,0.004327432289302467,1716,789627,21,1737,814266,3
0.3864893913269043,0.0021684819489041964,0.9879101899827288,0.004327465028484101,1716,789621,21,1737,814266,3
0.3906344175338745,0.0021684929100644103,0.9879101899827288,0.004327486854880402,1716,789617,21,1737,814266,3
0.3947795629501343,0.002168512092361429,0.9879101899827288,0.004327525051603719,1716,789610,21,1737,814266,3
0.3989245891571045,0.00216853127499782,0.9879101899827288,0.004327563249001331,1716,789603,21,1737,814266,3
0.4030696153640747,0.0021685477175277038,0.9879101899827288,0.004327595990164554,1716,789597,21,1737,814266,3
0.4072146415710449,0.0021685641603069353,0.9879101899827288,0.004327628731823202,1716,789591,21,1737,814266,3
0.41135966777801514,0.0021685833438645267,0.9879101899827288,0.004327666931051136,1716,789584,21,1737,814266,3
