model,repr,pooling,layer,method,D,sif_a,tau,aucroc,spearman,same_avg,diff_avg,gap,acc_at_1,acc_at_3,existing_acc,new_acc,overall_assignment_acc,n_train,n_test,n_existing,n_new
bowphs/LaTa,ff1,mean,6,whitening,10,0.001,0.0,0.5721581938781709,0.008244614935878893,0.15123368799686432,-0.0016939077759161592,0.15292759577278048,0.221875,0.25625,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,ff1,mean,7,baseline,10,0.001,0.9949748743718593,0.5139313690836388,0.001591763409954457,0.9791735410690308,0.9477754235267639,0.031398117542266846,0.140625,0.18125,0.8125,0.14106583072100312,0.47730829420970267,639,639,320,319
bowphs/LaTa,ff1,mean,7,whitening,10,0.001,0.0,0.5869429829399184,0.009933889800456668,0.16239158809185028,2.0803578081540763e-05,0.16237078451376874,0.25,0.275,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,ff1,mean,8,baseline,10,0.001,0.9949748743718593,0.5095062169856271,0.0010861565919041743,0.35782313346862793,0.3732307255268097,-0.015407592058181763,0.128125,0.165625,0.0875,0.9937304075235109,0.539906103286385,639,639,320,319
bowphs/LaTa,ff1,mean,8,whitening,10,0.001,0.0,0.551103591325771,0.005838972173922633,0.07830948382616043,0.0022525617387145758,0.07605692208744586,0.225,0.25625,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,ff1,mean,9,baseline,10,0.001,0.9899497487437187,0.552852098485119,0.006038748668627749,0.8538122177124023,0.8027541637420654,0.051058053970336914,0.175,0.2125,0.121875,0.7836990595611285,0.4522691705790297,639,639,320,319
bowphs/LaTa,ff1,mean,9,whitening,10,0.001,0.0,0.5336050472997418,0.00383962877997021,0.03708678483963013,-0.0004173309134785086,0.037504115753108636,0.209375,0.23125,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,ff1,mean,10,baseline,10,0.001,0.9949748743718593,0.5951192451862821,0.010868087203637957,0.9512319564819336,0.9134619832038879,0.037769973278045654,0.2875,0.315625,0.20625,0.7304075235109718,0.4679186228482003,639,639,320,319
bowphs/LaTa,ff1,mean,10,whitening,10,0.001,0.0,0.5355327886931027,0.004059888888305393,0.03611453250050545,0.0003162074717693031,0.035798325028736144,0.215625,0.2375,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,ff1,mean,11,baseline,10,0.001,0.9748743718592965,0.683109383454145,0.020921620469963167,0.8695256114006042,0.7871360182762146,0.08238959312438965,0.428125,0.48125,0.153125,0.8683385579937304,0.5101721439749609,639,639,320,319
bowphs/LaTa,ff1,mean,11,whitening,10,0.001,0.0,0.5613530153848101,0.007010042376740867,0.09990323334932327,-0.0013906593667343259,0.1012938927160576,0.240625,0.25,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,ff1,mean,12,baseline,10,0.001,0.9899497487437187,0.6241541292297852,0.014185540481478609,0.9218869805335999,0.8745312690734863,0.047355711460113525,0.30625,0.38125,0.153125,0.7962382445141066,0.47417840375586856,639,639,320,319
bowphs/LaTa,ff1,mean,12,whitening,10,0.001,0.0,0.5768430055444037,0.008779897749229892,0.17758780717849731,-0.0013808354269713163,0.17896864260546863,0.21875,0.246875,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,ff1,sif,1,sif_only,10,0.001,0.6934673366834171,0.939444203091014,0.05020979625049785,0.6854668855667114,0.24196241796016693,0.4435044676065445,0.89375,0.909375,0.75625,0.9811912225705329,0.8685446009389671,639,639,320,319
bowphs/LaTa,ff1,sif,1,sif_abtt_fixed,10,0.001,0.37185929648241206,0.9743329143827132,0.05419609319802675,0.5449337363243103,0.0010123795364052057,0.5439213567879051,0.9,0.93125,0.875,0.8683385579937304,0.8716744913928013,639,639,320,319
bowphs/LaTa,ff1,sif,1,sif_abtt_optimal,2,0.001,0.4321608040201005,0.9617803016577198,0.052761863043436254,0.569175124168396,0.0015639165649190545,0.5676112076034769,0.9,0.925,0.86875,0.8808777429467085,0.8748043818466353,639,639,320,319
bowphs/LaTa,ff1,sif,2,sif_only,10,0.001,0.7185929648241206,0.9254162483907743,0.04860699720944237,0.6493467688560486,0.2522389590740204,0.3971078097820282,0.80625,0.85,0.646875,0.9623824451410659,0.8043818466353677,639,639,320,319
bowphs/LaTa,ff1,sif,2,sif_abtt_fixed,10,0.001,0.3768844221105528,0.964286151989657,0.05304817523896811,0.4994140565395355,0.001085198950022459,0.49832885758951306,0.88125,0.91875,0.85,0.8746081504702194,0.8622848200312989,639,639,320,319
bowphs/LaTa,ff1,sif,2,sif_abtt_optimal,7,0.001,0.3869346733668342,0.9656233517562766,0.05320096034195943,0.5070466995239258,0.0010653618955984712,0.5059813376283273,0.884375,0.9125,0.85625,0.8526645768025078,0.8544600938967136,639,639,320,319
