model,language,layer,method,D,D_source,sif_a,spearman_train,spearman_test,n_train_pairs,n_test_pairs
Qwen/Qwen3-Embedding-8B,french,4,baseline_mean,0,none,0.001,0.7051940640414479,0.7008497827763596,505,505
Qwen/Qwen3-Embedding-8B,french,4,sif_abtt_optimal,10,train_sweep,0.001,0.8544955989329208,0.8620106473493395,505,505
Qwen/Qwen3-Embedding-8B,french,4,whitening,0,none,0.001,0.15737428789954863,0.6491067217650955,505,505
Qwen/Qwen3-Embedding-8B,french,5,baseline_mean,0,none,0.001,0.7229766169970563,0.7212956740690141,505,505
Qwen/Qwen3-Embedding-8B,french,5,sif_abtt_optimal,7,train_sweep,0.001,0.8541465419496188,0.8626090195507707,505,505
Qwen/Qwen3-Embedding-8B,french,5,whitening,0,none,0.001,0.30761867303663276,0.6577739789608268,505,505
Qwen/Qwen3-Embedding-8B,french,6,baseline_mean,0,none,0.001,0.732556913772561,0.731677905793989,505,505
Qwen/Qwen3-Embedding-8B,french,6,sif_abtt_optimal,10,train_sweep,0.001,0.8546963591617939,0.8660045206588924,505,505
Qwen/Qwen3-Embedding-8B,french,6,whitening,0,none,0.001,0.21665344386993465,0.6753249089840566,505,505
Qwen/Qwen3-Embedding-8B,french,7,baseline_mean,0,none,0.001,0.5387251081655526,0.49269552980347625,505,505
Qwen/Qwen3-Embedding-8B,french,7,sif_abtt_optimal,10,train_sweep,0.001,0.84520849136971,0.8629106304764923,505,505
Qwen/Qwen3-Embedding-8B,french,7,whitening,0,none,0.001,0.10855970639569905,0.5332457851129683,505,505
Qwen/Qwen3-Embedding-8B,french,8,baseline_mean,0,none,0.001,0.5629313349127375,0.5194551533524994,505,505
Qwen/Qwen3-Embedding-8B,french,8,sif_abtt_optimal,10,train_sweep,0.001,0.8499713354336517,0.8665434846476815,505,505
Qwen/Qwen3-Embedding-8B,french,8,whitening,0,none,0.001,0.22605485185613444,0.5438009551007151,505,505
Qwen/Qwen3-Embedding-8B,french,9,baseline_mean,0,none,0.001,0.5984685273465175,0.5662458348231509,505,505
Qwen/Qwen3-Embedding-8B,french,9,sif_abtt_optimal,10,train_sweep,0.001,0.8540879227608397,0.8706564541700195,505,505
Qwen/Qwen3-Embedding-8B,french,9,whitening,0,none,0.001,0.11233241313573034,0.5427806167170246,505,505
Qwen/Qwen3-Embedding-8B,french,10,baseline_mean,0,none,0.001,0.6144385631828168,0.5855201762272595,505,505
Qwen/Qwen3-Embedding-8B,french,10,sif_abtt_optimal,10,train_sweep,0.001,0.8490807819043908,0.8666527882979431,505,505
Qwen/Qwen3-Embedding-8B,french,10,whitening,0,none,0.001,0.2651579079470697,0.552872785022414,505,505
Qwen/Qwen3-Embedding-8B,french,11,baseline_mean,0,none,0.001,0.6107841997282429,0.5811512476712885,505,505
Qwen/Qwen3-Embedding-8B,french,11,sif_abtt_optimal,10,train_sweep,0.001,0.8489166097434256,0.8633071359961905,505,505
Qwen/Qwen3-Embedding-8B,french,11,whitening,0,none,0.001,0.13760357911640309,0.5341657730464188,505,505
Qwen/Qwen3-Embedding-8B,french,12,baseline_mean,0,none,0.001,0.610627732895919,0.5870298629847875,505,505
Qwen/Qwen3-Embedding-8B,french,12,sif_abtt_optimal,10,train_sweep,0.001,0.8466415136863282,0.8588020442916648,505,505
